74.3,138.6,266,464.8,745.1,1039.6,1235.5,1326.5,1401.8,1475.1,1474.2,1362.8,1160.5,903,637.2,410.9,247.2,141.9,79.1,43.4,23.6,12.8,6.9,3.7,2,1.1
74.4,138.5,263.4,450.2,693.1,915.3,1036.3,1092.8,1150.3,1186.4,1147,1025.5,845.7,637,436.5,275.4,163.6,93.3,52,28.6,15.6,8.5,4.6,2.5,1.3,0.7
74.6,138.8,261.9,438.4,650.2,818.3,894.1,935.4,981.6,994.5,936.3,813.1,648.2,470.3,311.2,191.1,111.3,62.7,34.7,19,10.3,5.6,3,1.6,0.9,0.5
74.6,138.3,258.2,422.8,605.5,733.6,784.9,819.9,855.3,850.8,783,663,513.3,361,232.5,139.9,80.4,44.9,24.7,13.5,7.3,4,2.1,1.2,0.6,0.3
74.8,138.4,256.2,411,569.2,665.9,700.1,729.8,754.9,737.4,664.5,550.2,415.5,285.3,180.3,107,61,33.9,18.6,10.1,5.5,3,1.6,0.9,0.5,0.3
61.9,96.4,154.3,230.4,332.6,453.6,572.5,667.1,725.2,757.7,783.1,806.6,817.9,804.4,762.1,695.4,611.2,516.3,418.1,324.7,242.7,175.7,124,85.9,58.7,39.7
61.9,96.2,153,225.5,318.3,420.4,510,571.8,604.8,624.5,643.2,657.7,657,633.3,587.1,523.4,448.4,368.3,289.9,219.2,160.2,113.9,79.2,54.3,36.8,24.8
62,96.2,152.1,221.4,306.1,392.6,460.4,500.9,520.5,534.1,547.5,554,544.2,514.6,467.6,408.4,342.3,274.9,211.8,157.2,113.1,79.5,54.8,37.3,25.2,16.9
62,96,150.7,216.5,293.3,366.1,417.5,444.6,457.5,468.1,477.5,477.7,461.9,429.3,383.3,328.5,269.9,212.5,160.8,117.5,83.5,58.1,39.8,26.9,18.1,12.1
62,95.9,149.6,212.3,281.9,343.3,381.9,399.9,408.7,417,422.6,418,398.5,364.7,320.5,270.1,218,168.8,125.8,90.7,63.8,44.1,30,20.3,13.6,9.1
74.3,138.2,264.5,461,738.5,1030.2,1217.4,1289.3,1347.5,1422.3,1445,1370.3,1206.8,979.4,724,488.4,306.1,182.6,105.8,60.5,34.5,19.7,11.3,6.5,3.8,2.2
74.4,138.2,262.4,447.8,689.7,910,1022,1062.7,1111,1153.9,1135.8,1042.9,891.9,703.1,506.2,335.3,208.7,124.8,73.2,42.7,25,14.8,8.9,5.4,3.3,2
74.6,138.6,261.2,437.1,648.6,814.5,880.4,908.6,950.1,971.6,932.9,834.5,693.5,529.6,370.4,240.5,148.3,88.8,52.7,31.4,18.9,11.6,7.2,4.5,2.8,1.7
74.6,138.1,257.7,422,604.6,729.7,770.9,794.8,827.7,831.9,781.9,684.6,555.9,414.7,284.7,183.1,112.9,68.3,41.2,25.1,15.6,9.8,6.2,3.9,2.5,1.5
74.8,138.2,255.7,410.1,567.8,660.3,684,703.8,727.5,718.6,662.9,570.6,456.1,335.9,229.2,147.8,92.2,56.7,35.1,22,14,9,5.7,3.6,2.3,1.5
61.8,96.2,153.4,228.3,329.3,450.2,570.3,665.7,721,747.5,768.9,795.3,818.3,824.1,805.4,763.3,700.9,620.7,526.4,426.2,329.8,245.5,177.3,125.3,87,59.6
61.9,96.1,152.4,224.1,316.6,419.7,511.1,573.1,602.9,618.5,636.8,657.8,670.1,664.3,638.5,595.1,536.9,466,387.2,308,235.8,175.2,127.4,91.3,64.4,44.5
62,96.1,151.7,220.6,305.5,393.4,462.8,502.7,519,529.9,545.3,559.7,562.8,549.7,521.2,480.1,428.3,367.6,302.7,239.8,184.1,138,101.4,72.8,51,34.8
62,95.9,150.4,216,293.2,367.5,419.8,445.6,455.3,464.3,476.7,485.1,481.7,464.5,435.8,398,352.3,300.5,246.8,195.8,151.2,113.9,83.3,59.1,40.9,27.7
62,95.8,149.3,211.7,281.7,344.2,383,398.7,404.2,411.4,420.6,424.3,416.9,398.7,372.1,339,300,256.4,211.5,169,130.8,97.4,70.1,49,33.4,22.4
72.2,119.3,183.9,236.4,264.9,269.7,260.1,240.8,219.1,221.6,271,417.8,686.5,1012,1258.9,1310.1,1132,776,423.7,200.1,89.8,40.8,19.6,10.1,5.6,3.3
72.3,118.8,180.9,227.4,247.4,243.8,228.7,207.5,186.4,187.4,228.9,353.7,583.6,867.7,1093,1142.7,973.8,653.7,353.4,168.1,77.2,36.5,18.5,10.1,6,3.8
60.2,83.8,109.8,123.6,126.8,124.3,122.3,117.8,109.5,110.9,132.8,198.4,318.2,490.7,711.5,950.3,1138.4,1206.7,1154,1014.2,796.1,539.3,318,169.9,85.6,41.9
60.1,83,107.3,118.6,119,113.8,109.4,103.2,93.7,93.1,109.9,163.2,263.3,412.1,609.4,826.3,992.4,1045.1,990.2,854.8,652.1,429.2,248.3,131.6,66.4,32.7
60,82.5,105.4,114.6,112.5,105.1,99,91.6,81.7,80.1,93.4,137.8,221.8,348,518.1,710,865.8,925.8,880.4,748.3,555.8,357.1,203.7,107.6,54.5,27.1
72.3,120,186.3,241.3,272.2,278,266.2,243.8,220.7,221.1,264.3,395.6,641.2,957.4,1233.4,1327.3,1168.3,808.4,442.5,207.9,92.3,41.4,19.6,10,5.5,3.3
72.4,119.6,183.4,232.8,256.1,254.9,239.4,217.3,197.1,199.3,240.3,360.9,581.2,853.2,1074,1127.2,958.8,638.4,342,161.7,74.1,35.1,17.9,9.9,6,3.8
60,83.2,108.2,121,123.3,119.9,115.5,109.3,101.5,103.3,122.8,181.7,291.2,452.7,667.7,914.9,1134.8,1248.6,1223.5,1079.5,840.2,561.6,326.3,171.8,85.4,41.2
